id	isolate	aliases	country	year	isolation date	disease	source	epidemiology	penner	aspA	glnA	gltA	glyA	pgm	tkt	uncA	ST	clonal complex
27	GB17		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	4,13,64	2	4	1	2	73	1	5	416	ST-48 complex
28	1429		New Zealand	1993		carrier	chicken	carrier	9	4	7	10	1	1	7	1	25	ST-45 complex
29	P17		Unknown						17	14	18	5	2	11	3	6	26	ST-353 complex
30	P37		Unknown			gastroenteritis	human stool	sporadic case	37	7	17	2	15	23	3	12	51	ST-443 complex
31	P53		Unknown						53	64	19	20	77	94	54	16	28	
32	GB1		The Netherlands			Guillain Barre Syndrome	human stool	sporadic case	1	8	1	17	3	16	1	1	29	
33	304		UK	1990			chicken offal or meat		1	2	1	5	3	2	1	5	19	ST-21 complex
34	307		UK	1990		gastroenteritis	human stool	sporadic case	1	2	1	5	3	2	1	5	19	ST-21 complex
35	336		UK	1990		gastroenteritis	human stool	sporadic case	1	2	1	6	9	11	1	14	30	
36	321		UK	1990		gastroenteritis	human stool	sporadic case	1	2	20	12	3	2	1	5	31	ST-21 complex
37	322		UK	1990		gastroenteritis	human stool	sporadic case	1	2	1	2	3	2	1	10	32	ST-21 complex
